scale,avg_time_ms,success_rate
1.0,75.62242660023912,1.0
0.95,59.59484209979564,1.0
0.9,61.02423550000822,1.0
0.85,76.27051284962363,1.0
0.8,46.509453199723794,1.0
0.75,43.99872240010154,1.0
0.7,38.495097249870014,1.0
0.65,33.41450824991625,1.0
0.6000000000000001,28.322165150530054,1.0
0.55,25.95017094990908,1.0
0.5,21.60547255025449,1.0
0.45000000000000007,17.590013700282725,1.0
0.4,13.444366949806863,1.0
0.3500000000000001,10.3817187504319,1.0
0.30000000000000004,8.812934849811427,1.0
0.2500000000000001,6.762047149823047,1.0
0.20000000000000007,5.965782399835007,1.0
0.15000000000000002,5.592790950140625,1.0
0.10000000000000009,4.787443399982294,1.0
0.05,4.64407650015346,0.0
